feature,coefficient,abs_coefficient,selected
Champion_Logit,,,True
Champion_Prob,,,True
Direct_Logit,,,True
Direct_Prob,,,True
g2_nh_Logit,,,True
g2_nh_Prob,,,True
g3_n_Logit,,,True
g3_n_Prob,,,True
g4_n_Logit,,,True
g4_n_Prob,,,True
g4_nh_Logit,,,True
g4_nh_Prob,,,True
fusion_sep_g2344_MeanLogit,,,True
fusion_sep_g2344_StdLogit,,,True
fusion_sep_g2344_MeanProb,,,True
fusion_sep_g2344_MaxProb,,,True
Champion_x_Direct,,,True
Champion_minus_Direct,,,True
Champion_x_g2_nh,,,True
Champion_minus_g2_nh,,,True
Champion_x_g3_n,,,True
Champion_minus_g3_n,,,True
Champion_x_g4_n,,,True
Champion_minus_g4_n,,,True
Champion_x_g4_nh,,,True
Champion_minus_g4_nh,,,True
Direct_x_g2_nh,,,True
Direct_minus_g2_nh,,,True
Direct_x_g3_n,,,True
Direct_minus_g3_n,,,True
Direct_x_g4_n,,,True
Direct_minus_g4_n,,,True
Direct_x_g4_nh,,,True
Direct_minus_g4_nh,,,True
g2_nh_x_g3_n,,,True
g2_nh_minus_g3_n,,,True
g2_nh_x_g4_n,,,True
g2_nh_minus_g4_n,,,True
g2_nh_x_g4_nh,,,True
g2_nh_minus_g4_nh,,,True
g3_n_x_g4_n,,,True
g3_n_minus_g4_n,,,True
g3_n_x_g4_nh,,,True
g3_n_minus_g4_nh,,,True
g4_n_x_g4_nh,,,True
g4_n_minus_g4_nh,,,True
Window_12M->18M,,,True
Window_12M->18M_x_Champion_Logit,,,True
Window_12M->18M_x_Direct_Logit,,,True
Window_12M->18M_x_g2_nh_Logit,,,True
Window_12M->18M_x_g3_n_Logit,,,True
Window_12M->18M_x_g4_n_Logit,,,True
Window_12M->18M_x_g4_nh_Logit,,,True
Window_18M->24M,,,True
Window_18M->24M_x_Champion_Logit,,,True
Window_18M->24M_x_Direct_Logit,,,True
Window_18M->24M_x_g2_nh_Logit,,,True
Window_18M->24M_x_g3_n_Logit,,,True
Window_18M->24M_x_g4_n_Logit,,,True
Window_18M->24M_x_g4_nh_Logit,,,True
Window_1M->3M,,,True
Window_1M->3M_x_Champion_Logit,,,True
Window_1M->3M_x_Direct_Logit,,,True
Window_1M->3M_x_g2_nh_Logit,,,True
Window_1M->3M_x_g3_n_Logit,,,True
Window_1M->3M_x_g4_n_Logit,,,True
Window_1M->3M_x_g4_nh_Logit,,,True
Window_3M->6M,,,True
Window_3M->6M_x_Champion_Logit,,,True
Window_3M->6M_x_Direct_Logit,,,True
Window_3M->6M_x_g2_nh_Logit,,,True
Window_3M->6M_x_g3_n_Logit,,,True
Window_3M->6M_x_g4_n_Logit,,,True
Window_3M->6M_x_g4_nh_Logit,,,True
Window_6M->12M,,,True
Window_6M->12M_x_Champion_Logit,,,True
Window_6M->12M_x_Direct_Logit,,,True
Window_6M->12M_x_g2_nh_Logit,,,True
Window_6M->12M_x_g3_n_Logit,,,True
Window_6M->12M_x_g4_n_Logit,,,True
Window_6M->12M_x_g4_nh_Logit,,,True
fusion_sep_g2344_Champion_x_LatentMean,,,True
fusion_sep_g2344_Direct_x_LatentMean,,,True
