Group,Family,Scope,Source_Variant,Best_Model,AUC,PR_AUC,C_Index,Brier,Calibration_Intercept,Calibration_Slope,Threshold,Note
nonhyper_g4_residual_pca_windowed_mainChampion_auxLatent,fusion,nonhyper,g4_residual_pca,Elastic LR,0.8481410818336513,0.3513992004742935,0.7573555476781283,0.0632111959250364,0.8435025184107402,1.5144063757937092,0.13999999999999999,windowed direct + champion main sidecar + latent auxiliary sidecar
normal_g4_residual_pca_windowed_mainChampion_auxLatent,fusion,normal,g4_residual_pca,Elastic LR,0.8487082968081268,0.3512269429351875,0.7557603686635944,0.0632627092935047,0.849262415768417,1.5184754513823413,0.13999999999999999,windowed direct + champion main sidecar + latent auxiliary sidecar
normal_g3_cluster_soft_state_windowed_mainChampion_auxLatent,fusion,normal,g3_cluster_soft_state,Elastic LR,0.8487082968081268,0.3512269429351875,0.7557603686635944,0.06326268452214959,0.84926089896577,1.5184739603834723,0.13999999999999999,windowed direct + champion main sidecar + latent auxiliary sidecar
normal_g3_cluster_soft_state_direct_windowed_fusion,fusion,normal,g3_cluster_soft_state,Elastic LR,0.8505646367245914,0.350290400576129,0.760191421481744,0.06288496482496057,0.9106593581835357,1.530551714306188,0.12999999999999998,direct=direct_windowed; latent_sidecar=g3_cluster_soft_state; scope=normal
normal_g3_cluster_soft_state_windowed_mainLatent_auxChampion,fusion,normal,g3_cluster_soft_state,Elastic LR,0.8503583767338732,0.3496684954106827,0.7589507266926622,0.0628287369608099,0.8504217370723487,1.5086463621293533,0.13999999999999999,windowed direct + latent main sidecar + champion auxiliary sidecar
normal_g3_cluster_soft_state_direct_ref_fusion,fusion,normal,g3_cluster_soft_state,Elastic LR,0.8497395967617181,0.34732954910173924,0.7587734845799362,0.06294701054533565,0.8777901275286362,1.5130784789142628,0.12999999999999998,direct=direct_ref; latent_sidecar=g3_cluster_soft_state; scope=normal
normal_g4_residual_pca_direct_ref_fusion,fusion,normal,g4_residual_pca,Elastic LR,0.8489661217965245,0.3463628965426334,0.7580645161290323,0.06312232000799314,0.8526513556925654,1.4969376963419998,0.13999999999999999,direct=direct_ref; latent_sidecar=g4_residual_pca; scope=normal
nonhyper_g4_residual_pca_direct_ref_fusion,fusion,nonhyper,g4_residual_pca,Elastic LR,0.8464910019079049,0.3429142770860304,0.7529244948599787,0.06322657304475643,0.8426657748223062,1.4853398862210858,0.12999999999999998,direct=direct_ref; latent_sidecar=g4_residual_pca; scope=nonhyper
normal_g2_pca_manifold_windowed_mainChampion_auxLatent,fusion,normal,g2_pca_manifold,Elastic LR,0.8488114268034858,0.34271336783936085,0.7571783055654023,0.06305145095609449,0.7874575061430209,1.4799073427021614,0.14999999999999997,windowed direct + champion main sidecar + latent auxiliary sidecar
nonhyper_g4_residual_pca_windowed_mainLatent_auxChampion,fusion,nonhyper,g4_residual_pca,Elastic LR,0.8481410818336513,0.34209877648472564,0.7573555476781283,0.06297688416823183,0.7870300766718851,1.4671863737711495,0.13999999999999999,windowed direct + latent main sidecar + champion auxiliary sidecar
nonhyper_g4_residual_pca_direct_windowed_fusion,fusion,nonhyper,g4_residual_pca,Elastic LR,0.8473676068684577,0.3415910927867169,0.7534562211981567,0.06316885537356717,0.8787956111349808,1.5041107873732351,0.11999999999999998,direct=direct_windowed; latent_sidecar=g4_residual_pca; scope=nonhyper
normal_g2_pca_manifold_direct_ref_fusion,fusion,normal,g2_pca_manifold,Elastic LR,0.8446346619914402,0.3413172917789436,0.739808578518256,0.06360958921426715,0.6615056310541222,1.3952828934605188,0.15999999999999998,direct=direct_ref; latent_sidecar=g2_pca_manifold; scope=normal
normal_g4_residual_pca_windowed_mainLatent_auxChampion,fusion,normal,g4_residual_pca,Elastic LR,0.8495849017686794,0.3389364809217896,0.7598369372562921,0.06294904456402121,0.7921234254685559,1.4804829346151496,0.13999999999999999,windowed direct + latent main sidecar + champion auxiliary sidecar
normal_g4_residual_pca_direct_windowed_fusion,fusion,normal,g4_residual_pca,Elastic LR,0.849894291754757,0.3377233452775271,0.7610776320453739,0.06295998230678711,0.8550058651893647,1.5016192237565844,0.13999999999999999,direct=direct_windowed; latent_sidecar=g4_residual_pca; scope=normal
normal_g2_pca_manifold_direct_windowed_fusion,fusion,normal,g2_pca_manifold,Elastic LR,0.8454081369566337,0.3376775634106038,0.7415809996455158,0.0635535664846491,0.6817304755863496,1.4061501832821552,0.15999999999999998,direct=direct_windowed; latent_sidecar=g2_pca_manifold; scope=normal
baseline_direct_windowed,direct,normal,direct_windowed,Logistic Reg.,0.84102511215387,0.3362205385886003,0.7215526409074796,0.06438215626894699,-0.11746860103209569,1.0301395816300172,0.14999999999999997,windowed direct anchor
normal_g2_pca_manifold_windowed_mainLatent_auxChampion,fusion,normal,g2_pca_manifold,Elastic LR,0.8460784819264684,0.3324503819391249,0.7422899680964197,0.0635188376626726,0.6643095657021958,1.401231667828349,0.15999999999999998,windowed direct + latent main sidecar + champion auxiliary sidecar
baseline_direct_ref,direct,normal,direct,Logistic Reg.,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.06445334818835405,-0.12023435104410583,1.0277517463793857,0.14999999999999997,transparent direct anchor
nonhyper_g2_pca_manifold_windowed_mainChampion_auxLatent,fusion,nonhyper,g2_pca_manifold,Elastic LR,0.846955086887021,0.3302573526874134,0.7435306628855016,0.0627681208609999,0.5954353130574819,1.376512211371234,0.13999999999999999,windowed direct + champion main sidecar + latent auxiliary sidecar
nonhyper_g3_cluster_soft_state_direct_windowed_fusion,fusion,nonhyper,g3_cluster_soft_state,Elastic LR,0.8526272366317743,0.3272715205383403,0.7683445586671394,0.06307585093720933,0.7827434065688049,1.4819325608580167,0.17999999999999997,direct=direct_windowed; latent_sidecar=g3_cluster_soft_state; scope=nonhyper
nonhyper_g2_pca_manifold_direct_windowed_fusion,fusion,nonhyper,g2_pca_manifold,Elastic LR,0.846955086887021,0.32622864466968016,0.7424672102091457,0.06317081366543915,0.6475245311192471,1.384750600616144,0.14999999999999997,direct=direct_windowed; latent_sidecar=g2_pca_manifold; scope=nonhyper
nonhyper_g2_pca_manifold_windowed_mainLatent_auxChampion,fusion,nonhyper,g2_pca_manifold,Elastic LR,0.846955086887021,0.32622864466968016,0.7424672102091457,0.06317080044178022,0.6475222991332606,1.384749605761373,0.14999999999999997,windowed direct + latent main sidecar + champion auxiliary sidecar
nonhyper_g3_cluster_soft_state_windowed_mainLatent_auxChampion,fusion,nonhyper,g3_cluster_soft_state,Elastic LR,0.8521631516526581,0.3254466514461929,0.7658631690889756,0.06317827376511922,0.8150713573774101,1.495315337011131,0.17999999999999997,windowed direct + latent main sidecar + champion auxiliary sidecar
nonhyper_g3_cluster_soft_state_direct_ref_fusion,fusion,nonhyper,g3_cluster_soft_state,Elastic LR,0.851080286701387,0.32268799412620364,0.7635590216235377,0.0632242701045306,0.7886371200389409,1.4809502119703675,0.14999999999999997,direct=direct_ref; latent_sidecar=g3_cluster_soft_state; scope=nonhyper
nonhyper_g2_pca_manifold_direct_ref_fusion,fusion,nonhyper,g2_pca_manifold,Elastic LR,0.8461816119218275,0.32268251594993175,0.7412265154200638,0.0632154314112732,0.6324017511459107,1.376562992845375,0.15999999999999998,direct=direct_ref; latent_sidecar=g2_pca_manifold; scope=nonhyper
nonhyper_g2_pca_manifold_direct_monotonic_fusion,fusion,nonhyper,g2_pca_manifold,Elastic LR,0.8462331769195071,0.3220103233700837,0.7619638426090038,0.06345168102183016,0.851924379945453,1.5248679820429554,0.13999999999999999,direct=direct_monotonic; latent_sidecar=g2_pca_manifold; scope=nonhyper
normal_g2_pca_manifold_direct_monotonic_fusion,fusion,normal,g2_pca_manifold,Elastic LR,0.8437580570308875,0.31655572729490733,0.7580645161290323,0.06404497978116477,1.0083461640631226,1.6049971882557,0.14999999999999997,direct=direct_monotonic; latent_sidecar=g2_pca_manifold; scope=normal
normal_g4_residual_pca_direct_monotonic_fusion,fusion,normal,g4_residual_pca,Elastic LR,0.8500489867477956,0.3151476684453377,0.7913860333215172,0.0643399443011075,1.5602973278382524,1.9188216372282907,0.14999999999999997,direct=direct_monotonic; latent_sidecar=g4_residual_pca; scope=normal
